year_remodeled,lot_area,overall_quality,basement_sqft,living_area_sqft,sale_price
1965,10289,5,1073,1073,156000
1965,9170,5,1214,1214,140000
1965,9100,5,925,925,117500
1965,7800,5,828,965,119900
1965,13526,5,935,935,137000
1965,9937,5,1256,1256,147500
1965,6600,5,994,2372,107500
1965,8100,5,849,2138,106000
1965,13101,5,1728,1728,142600
1965,9825,5,0,1664,100000
1965,164660,5,1499,1786,228950
1965,11625,5,1039,1039,131500
1965,8658,6,1088,1324,160000
1965,9200,6,1136,1136,140000
1965,215245,7,2136,2036,375000
1966,5350,3,728,1306,76500
1966,8900,4,1056,1056,107000
1966,7742,5,955,955,127000
1966,7162,5,876,904,109900
1966,11000,5,1154,1154,154000
1966,7094,5,894,894,125000
1966,9477,5,864,892,110000
1966,11777,5,1164,1320,164500
1966,13400,5,1024,1086,159950
1966,7590,6,660,1348,155000
1966,7700,6,756,1839,155000
1966,9020,6,1127,1165,174900
1966,19690,6,697,2201,274970
1966,8400,6,814,913,129000
1966,14200,7,924,2157,226000
1967,10791,4,0,1296,90000
1967,10355,5,1214,1214,143000
1967,8521,5,912,912,125000
1967,9819,5,882,900,122000
1967,7150,5,892,892,100000
1967,6173,5,876,902,125500
1967,28698,5,1013,2126,185000
1967,9750,5,980,980,135500
1967,7838,5,864,900,123000
1967,25000,5,1632,1632,143000
1967,8944,5,1584,1584,124000
1967,9790,6,1372,1342,161500
1968,10778,4,1768,1768,136500
1968,8450,5,1056,1056,142000
1968,11553,5,1051,1159,158000
1968,8978,5,948,948,108000
1968,8724,5,894,894,129000
1968,8250,5,952,1211,134000
1968,9858,5,864,874,130000
1968,8400,5,1052,1052,138500
1968,5400,5,1073,1073,108480
1968,13560,6,1392,1392,110000
1968,9156,6,1489,1489,185750
1968,13000,6,896,2142,193500
1968,11700,6,702,1743,175000
1968,11700,6,727,1556,154000
1968,11700,6,708,1416,179900
1968,11160,7,2110,2110,244000
1968,9900,7,832,1978,176000
1969,12900,4,1198,1258,108959
1969,9920,5,971,971,128500
1969,15870,5,1096,1096,138800
1969,13907,5,996,996,108000
1969,11606,5,1040,2080,135000
1969,10793,5,780,1620,152000
1969,11075,5,784,1968,172000
1969,11643,5,1248,2634,200000
1969,9750,6,1054,1054,151000
1969,16381,6,1844,1844,223000
1969,9364,6,663,1352,158000
1969,11075,6,952,2112,206900
1969,21453,6,938,988,180000
1969,9600,7,1164,1164,140000
1970,10615,3,978,1699,95000
1970,8120,4,864,864,124500
1970,6960,4,864,864,120500
1970,9353,4,864,864,116050
1970,2001,4,546,1092,75000
1970,2217,4,546,1092,88000
1970,1936,4,630,630,84500
1970,1477,4,630,630,80000
1970,9873,4,960,960,129000
1970,8750,5,1002,1002,148500
1970,7244,5,768,768,129500
1970,2016,5,630,1302,106000
1970,2368,5,765,1365,125000
1970,1533,5,630,630,92000
1970,10800,5,954,2414,160000
1970,11241,6,1004,1004,149000
1970,11717,6,1442,1442,185000
1970,12155,6,1657,1657,163500
1970,12925,6,1205,2117,237500
1970,1869,6,483,987,106000
1970,10400,7,1304,1682,174000
1970,10628,7,1277,1277,167000
1970,9550,7,756,1717,140000
1970,10800,7,880,1768,163000
1970,15863,7,824,3082,197000
1970,15865,8,2217,2217,268000
1971,10500,4,864,864,115000
1971,10500,4,864,864,97000
1971,8125,4,858,858,88000
1971,7340,4,858,858,110000
1971,8294,4,858,872,123000
1971,9000,4,864,864,120500
1971,12243,5,1484,1484,175000
1971,9758,5,950,950,119500
1971,1680,5,630,1302,112000
1971,1920,5,765,1365,122500
1971,10530,6,981,981,143250
1971,14803,6,825,1993,190000
1971,8816,6,1010,1052,155000
1971,9400,6,912,1824,139000
1971,1680,6,483,987,89500
1971,1680,6,483,987,85400
1971,1680,6,525,1092,88000
1971,1680,6,672,1218,91500
1972,12735,4,864,864,111250
1972,8172,4,941,1470,135000
1972,10012,4,1138,1181,137500
1972,1890,4,630,630,81000
1972,1491,4,630,630,75500
1972,7200,5,780,780,124900
1972,7180,5,864,864,127000
1972,9800,5,894,894,149900
1972,7200,5,894,894,123000
1972,15523,5,864,864,133500
1972,7700,5,882,882,112500
1972,9560,5,864,864,128500
1972,1680,5,630,1302,119500
1972,9525,6,994,1855,136900
1972,10400,6,732,1790,165150
1972,12936,6,723,1395,162000
1972,9600,6,1156,1520,153000
1972,10448,6,689,2119,158000
1972,1680,6,483,987,94500
1972,1680,6,672,1218,118000
1973,1974,4,546,1092,83500
1973,1596,4,462,988,91000
1973,8100,5,1559,1559,153500
1973,9246,5,1656,1656,135000
1973,1890,6,672,1218,113000
1973,1680,6,483,987,100000
1973,3964,6,942,2521,151400
1973,1953,6,483,987,83000
1973,13651,7,2223,2223,244000
1973,9600,7,1242,1242,175500
1973,10382,7,1107,2090,200000
1974,17920,5,1763,1779,170000
1974,13350,5,864,894,142500
1974,9000,5,896,1792,136000
1974,10140,6,1064,1350,165000
1974,9120,6,901,1876,185000
1974,2308,6,855,1322,147000
1974,10625,7,1053,1173,170000
1975,32463,4,1249,1622,168000
1975,10010,5,1389,1389,170000
1975,10356,5,969,969,122000
1975,7990,5,924,924,110000
1975,10140,5,1056,1074,153500
1975,32668,6,2035,2515,200624
1975,13500,6,1602,1252,235000
1975,11475,6,713,1552,179900
1975,9400,6,945,980,127500
1975,70761,7,1533,1533,280000
1976,10650,5,894,894,128200
1976,10304,5,780,1868,197500
1976,10780,5,911,954,132500
1976,9297,5,1728,1728,188000
1976,11500,5,1680,1680,136905
1976,4224,5,1040,1060,129900
1976,4224,5,1142,1142,134000
1976,2592,5,536,1112,85000
1976,2665,5,264,1304,115000
1976,9600,6,1262,1262,181500
1976,7917,6,1143,1113,148000
1976,11361,6,1193,1523,180000
1976,18800,6,796,1574,190000
1976,12046,6,848,2030,195000
1976,15576,6,840,1680,177000
1976,17871,6,1680,1724,197900
1976,7200,6,1041,1125,125000
1976,7819,6,1029,1117,107000
1976,11333,6,1029,1062,146800
1976,12328,6,1012,1034,169900
1976,12640,6,1728,1728,150900
1976,4928,6,1078,958,128000
1976,4928,6,958,958,143750
1976,2280,6,855,1456,148500
1976,2308,6,804,1548,155000
1976,10400,7,1090,1370,152000
1976,12384,7,793,1935,197900
1976,10480,7,803,1964,205000
1976,10140,7,832,1664,162900
1976,15498,8,1565,2898,287000
1977,7711,4,1440,1440,150000
1977,12984,5,1430,1647,217500
1977,7064,5,980,980,135000
1977,15611,5,1126,1126,175000
1977,17400,5,1126,1126,160000
1977,8385,5,985,985,149900
1977,8400,5,0,2020,144000
1977,10125,5,0,1734,126000
1977,18890,5,1361,2620,190000
1977,2665,5,757,1475,127000
1977,11751,6,1844,1844,190000
1977,10125,6,1196,1279,171500
1977,11250,6,1208,1208,165000
1977,8197,6,660,1285,143500
1977,9819,6,1567,1567,196000
1977,9650,6,1350,1334,167900
1977,10900,6,689,1392,161750
1977,7950,6,690,1426,159500
1977,9880,6,1096,1118,171000
1977,10530,6,975,1004,135000
1977,4043,6,1069,1069,140000
1977,4043,6,1069,1069,127500
1977,11900,7,1386,1411,82500
1977,10005,7,1160,2022,192000
1977,11952,7,808,1969,190000
1978,12342,5,978,1422,139900
1978,8430,5,1040,1040,124000
1978,16157,5,1360,1432,194000
1978,9101,5,1097,1110,165500
1978,9500,6,816,1977,165000
1978,7844,6,672,1400,149500
1978,11616,6,672,1386,158900
1978,11184,6,918,1683,172500
1978,10395,6,1032,1032,148000
1978,10970,6,940,1026,147000
1978,7540,6,888,912,156000
1978,8930,6,0,1902,112000
1978,2289,6,855,1441,148500
1978,2280,6,855,1456,146000
1978,11880,7,1271,1601,157000
1978,16692,7,1392,2784,250000
1979,11235,4,1051,1382,148000
1979,7018,5,0,1535,118964
1979,7018,5,1086,1224,153337
1979,7032,5,943,943,135960
1979,7018,5,0,1535,118858
1979,7018,5,0,2240,142953
1979,18450,6,1021,2380,129000
1979,7892,6,918,918,99500
1979,23595,7,1332,1524,260000
1979,11584,7,539,1725,197000
1980,7763,5,931,1283,140000
1980,9200,5,938,938,130250
1980,7200,5,936,936,140000
1980,10240,6,1686,1686,207500
1980,6000,6,1103,1103,110500
1980,6979,6,1056,1056,144000
1980,8012,6,923,923,143000
1980,10762,6,626,1217,120000
1980,1950,6,716,1556,151000
1980,1300,6,561,1229,124000
1980,13005,7,845,2353,260000
1980,14115,7,1372,1472,187500
1981,10440,5,440,1230,110000
1981,16647,5,1390,1701,171000
1981,12090,6,1422,1422,175500
1981,12546,6,1440,1440,182900
1981,9786,6,912,1734,159000
1981,8400,6,650,1564,171000
1981,16669,8,1686,1707,228000
1981,9600,8,2524,2524,278000
1982,8470,3,1013,1526,85000
1982,8314,5,816,816,124500
1982,9144,5,883,1505,145000
1982,7200,5,1208,1904,138000
1982,8740,5,840,860,137000
1982,7252,5,858,858,134900
1982,6780,6,520,754,84500
1983,9503,5,1024,1344,144000
1983,10000,5,864,1144,131400
1983,8885,5,864,902,131000
1983,9180,5,840,884,144000
1983,9187,6,1084,1080,134000
1984,11120,6,1232,1232,162500
1984,11029,6,1054,2654,250000
1984,7937,6,1003,1003,142500
1984,7175,6,744,752,125000
1984,13125,7,800,1740,219500
1984,5062,7,1190,2090,207500
1984,5814,8,1220,1360,187500
1985,7535,5,912,912,120000
1985,6951,5,876,923,119500
1985,8780,5,833,833,112000
1985,9672,6,1040,1097,152000
1985,11200,6,1298,1298,180000
1985,12508,6,983,1750,160000
1985,9206,6,741,1732,178000
1985,6820,8,1488,1502,212000
1985,6563,8,1742,1742,275000
1986,12416,6,1606,1651,184000
1986,13728,6,1127,2108,235000
1986,5271,7,1453,1453,190000
1986,17671,8,916,1742,168000
1986,3696,8,1074,1088,170000
1987,14175,5,1188,1437,168000
1987,10410,5,660,1656,135000
1987,13825,5,533,1601,140000
1987,14585,6,1144,1429,181900
1987,13811,6,1112,1137,176000
1987,11500,7,1017,2057,250000
1987,10380,7,1502,2730,301000
1987,5306,7,1064,1767,239000
1987,5250,8,684,2358,122000
1987,50271,9,1842,1842,385000
1988,10800,5,1200,1200,179000
1988,9600,6,1240,1632,139000
1988,13175,6,1542,2073,210000
1988,11457,6,1392,1412,175000
1988,10400,7,1845,1872,241500
1988,13837,7,1204,2183,229000
1988,13700,7,864,1820,201800
1988,10421,7,980,1714,196500
1988,9000,7,650,1482,143000
1989,11250,4,1104,1788,161500
1989,9286,5,1268,1268,143500
1989,10800,5,796,1466,170000
1989,10029,6,1151,2060,211000
1989,10200,6,1461,1509,175000
1989,19900,7,1947,2207,180000
1989,14364,7,1157,2062,277000
1989,11287,7,807,1982,228500
1989,12800,7,1518,1644,275000
1989,11070,7,1907,1959,171000
1989,4671,8,1228,1228,189000
1990,4800,4,1196,1196,109900
1990,8532,5,1297,1297,153000
1990,8172,5,864,864,115000
1990,9638,6,804,2447,169000
1990,6171,6,976,1608,137450
1990,11841,6,816,816,118500
1990,11851,7,1424,1442,180500
1990,8049,7,1309,1339,180000
1990,13600,7,768,1986,205000
1990,26178,7,1210,2519,335000
1990,12376,7,1673,3222,320000
1990,11839,7,1475,2329,262280
1990,9600,7,728,1641,178000
1990,9572,8,1453,2810,302000
1990,25419,8,1360,3112,235000
1991,8973,5,1008,1053,150000
1991,7438,5,504,1252,127000
1991,9000,5,636,1750,124000
1991,7000,5,1117,1347,107500
1991,7153,6,1278,1294,179200
1991,9350,6,1302,1302,158000
1991,10357,7,910,1442,179900
1991,14684,7,2158,2196,271900
1991,13758,7,1156,1717,187500
1991,20544,7,791,2093,215000
1991,13474,7,700,2243,225000
1991,11170,7,1216,2514,250000
1991,13125,7,1104,2127,238000
1991,9947,7,1188,1217,173000
1992,8176,5,1056,1056,139000
1992,10712,5,974,974,93500
1992,7200,5,788,804,119000
1992,6240,5,1078,1573,162900
1992,9248,6,1158,1167,173000
1992,53107,6,1580,1953,240000
1992,7153,6,761,1603,175900
1992,11218,6,1055,1845,189000
1992,9069,6,936,996,147000
1992,8012,6,1575,1575,179200
1992,3378,7,651,1389,135000
1992,10186,7,750,1923,190000
1992,10192,7,570,1920,170000
1992,10784,7,384,1472,160000
1992,9125,7,384,1482,163900
1992,16059,8,1288,2417,260000
1992,10041,8,908,1915,220000
1993,9991,4,1281,1620,150000
1993,10708,5,1617,1867,190000
1993,10335,5,1461,1721,180000
1993,6120,5,715,875,105000
1993,9760,6,822,1851,187000
1993,9636,6,808,1593,178000
1993,9765,6,680,1470,185000
1993,9291,6,832,1710,187000
1993,3600,6,684,1368,114504
1993,7892,6,1199,1199,153900
1993,9900,7,1347,2646,260000
1993,11228,7,1080,2097,228000
1993,9317,7,740,1775,213000
1993,11414,7,728,2019,167500
1993,12692,8,3200,3228,430000
1993,14541,8,1338,2520,310000
1993,10846,8,1719,1719,324000
1993,5395,8,1337,1337,180000
1993,22950,10,1107,3608,475000
1994,53227,4,1364,1663,256000
1994,7500,5,1246,1246,154000
1994,6993,5,912,1236,135000
1994,8775,5,990,990,126000
1994,9600,5,702,1472,125000
1994,18030,5,1598,3086,200500
1994,7685,6,697,1501,165600
1994,7837,6,799,1571,178000
1994,8462,6,928,1721,201000
1994,11526,6,588,2555,191000
1994,11888,6,844,2134,214500
1994,9600,6,528,1855,187000
1994,8012,6,1604,1617,193000
1994,16659,7,795,2263,235000
1994,10542,7,1311,2418,341000
1994,9938,7,1050,1949,236000
1994,29959,7,973,1850,248000
1994,10944,7,1223,2127,271000
1994,14303,8,1986,1987,301500
1994,9554,8,777,1911,215000
1994,10120,8,1165,2526,290000
1994,10570,8,853,2727,315000
1995,9600,4,1067,1067,128000
1995,8070,4,990,990,123600
1995,10800,4,641,1047,100000
1995,6120,4,884,1573,133000
1995,8235,5,825,825,125000
1995,10859,5,1097,1097,145000
1995,9245,5,990,990,145000
1995,8072,5,990,990,138000
1995,13568,5,990,990,156000
1995,7200,5,803,1360,125500
1995,11767,5,768,1200,130500
1995,14115,5,796,1362,143000
1995,9480,5,728,1644,146500
1995,11782,5,1109,1155,148000
1995,7082,5,686,1928,160000
1995,11249,6,1200,1200,177500
1995,10320,6,756,1469,135000
1995,12227,6,1330,2872,272000
1995,8125,6,702,1481,174000
1995,11988,6,715,1660,188700
1995,8471,6,506,1212,151000
1995,10896,6,1440,3395,200000
1995,8750,7,915,1908,210000
1995,9950,7,1203,2520,290000
1995,12461,8,1624,1624,262000
1995,10437,8,2109,2113,350000
1995,12256,8,1463,2622,325000
1995,12257,8,1318,2531,290000
1995,9828,8,1128,2020,239500
1995,13860,8,1952,2704,345000
1995,21535,10,2444,4316,755000
1996,9717,5,1078,1078,142125
1996,8892,5,105,910,116000
1996,10011,5,1070,1236,134450
1996,11341,5,1392,1392,121500
1996,12464,5,1040,1040,152000
1996,5784,5,190,886,91300
1996,6342,5,780,1020,94000
1996,8820,5,1088,1869,124900
1996,8410,5,658,1184,81000
1996,7200,5,530,1111,101000
1996,8846,5,870,914,148000
1996,7630,5,360,1812,140000
1996,7407,6,912,1236,149700
1996,6768,6,912,912,142000
1996,10364,6,806,1572,168000
1996,13031,6,691,1498,187500
1996,8000,6,773,1658,188000
1996,10592,6,602,1502,165000
1996,9600,6,992,1661,165500
1996,7875,7,1237,1253,176000
1996,10593,7,1720,1720,260400
1996,11883,7,1504,1504,203000
1996,10832,7,712,1895,194500
1996,10667,7,799,1661,212000
1996,8750,7,880,1716,191000
1996,8530,7,384,1474,168500
1996,14720,8,2033,3238,410000
1996,8963,8,1142,2715,299800
1996,15138,8,1462,2794,403000
1996,10000,8,1220,2090,240000
1996,5100,8,588,1666,161000
1996,5389,8,1595,1616,236500
1996,9549,8,1494,1494,270000
1996,14963,8,1260,1288,245500
1996,35760,10,1930,3627,625000
1996,15623,10,2396,4476,745000
1997,16321,5,1484,1600,207500
1997,10200,5,672,672,108000
1997,3880,5,686,866,110500
1997,6000,5,884,1348,117000
1997,10690,5,672,1344,147000
1997,8400,5,720,2192,179500
1997,9236,6,1479,1494,217000
1997,45600,6,907,2358,240000
1997,10800,6,1522,2614,240000
1997,9303,6,872,1756,204000
1997,13869,6,794,1470,177000
1997,9337,6,824,1786,204750
1997,15426,6,928,1764,231500
1997,11207,6,802,1511,185000
1997,12798,6,616,1688,200000
1997,8773,6,916,1600,169000
1997,2887,6,1291,1291,173000
1997,15602,7,1501,1801,289000
1997,10208,7,1264,2344,265000
1997,11787,7,1379,2398,315750
1997,21872,7,729,1446,175000
1997,9920,7,1117,2013,269790
1997,14000,7,1306,2260,328000
1997,13006,7,964,2236,222000
1997,14100,8,728,3447,381000
1998,9230,5,864,1200,146000
1998,9842,5,612,2601,189000
1998,12400,6,1215,1215,155000
1998,12772,6,958,958,151500
1998,17043,6,1362,1586,181000
1998,8125,6,1408,1679,193500
1998,13125,6,1478,1493,208900
1998,5586,6,901,1198,79900
1998,10839,6,926,1604,181000
1998,9042,6,943,1638,192000
1998,9531,6,794,1796,211000
1998,8750,6,804,1682,200500
1998,4500,6,1237,1337,153500
1998,4500,6,1216,1216,164000
1998,4500,6,1204,1204,162000
1998,7200,6,1214,2291,133900
